decoder,threshold_x,threshold_dep
bposd,0.083639317271721,0.1351182947405406
projection,0.0749751883659625,0.1122813200385773
restriction,0.0895838413080849,0.1339820823328116
chromobius,0.0949553471375286,0.1422818263626337
concat_mwpm,0.0832038830840785,0.1249568563151594
correlated,0.0914187789799605,0.136809320017612
