decoder,distance,p_physical,p_logical,mitigation_ratio
bposd,9,0.02,0.0002445584222557,81.78005000003165
bposd,9,0.0457142857142857,0.0084708993615834,5.3966271777003705
bposd,9,0.0585714285714285,0.0217054263565891,2.6984693877551047
bposd,9,0.0714285714285714,0.0440510064284961,1.6214969241285042
bposd,9,0.0328571428571428,0.0020748502217496,15.83591071428582
bposd,9,0.0842857142857143,0.0830706471351752,1.0146269132653065
bposd,9,0.0971428571428571,0.1206225680933852,0.8053456221198154
bposd,9,0.1228571428571428,0.1994829814735028,0.6158778154890463
bposd,9,0.11,0.1584454409566517,0.694245283018868
bposd,9,0.1357142857142857,0.2529082292115467,0.5366147481138963
bposd,9,0.1485714285714285,0.2990090478242137,0.4968793742280771
bposd,9,0.1614285714285714,0.3438704703161141,0.46944586803331184
bposd,9,0.1742857142857143,0.3592906707787201,0.4850827713059473
bposd,9,0.1871428571428571,0.400154202004626,0.4676768510872557
bposd,9,0.2,0.4340786430223592,0.460746003552398
bposd,23,0.02,1.225e-06,16326.5306122449
bposd,23,0.0328571428571428,8.747720206676498e-05,375.6080679405514
bposd,23,0.0457142857142857,0.001270334056674,35.98603491271835
bposd,23,0.0585714285714285,0.0073883949032908,7.927490251683855
bposd,23,0.0714285714285714,0.0339144972534033,2.106136820925558
bposd,23,0.0842857142857143,0.0730871123577995,1.1532226621992099
bposd,23,0.0971428571428571,0.1461883408071748,0.6645048203330413
bposd,23,0.11,0.2580784144765187,0.4262270450751253
bposd,23,0.1228571428571428,0.3222821896684656,0.3812098427887901
bposd,23,0.1357142857142857,0.3947571318427139,0.3437918526785715
bposd,23,0.1485714285714285,0.4525828835774865,0.328274519347773
bposd,23,0.1614285714285714,0.4772552043176561,0.33824371105469647
bposd,23,0.1742857142857143,0.4664610639938319,0.3736340023612751
bposd,23,0.1871428571428571,0.4957594448727833,0.3774872250610975
bposd,23,0.2,0.4925373134328358,0.4060606060606061
projection,9,0.02,0.0015861874794291,12.608850000000249
projection,9,0.0436363636363636,0.0196598082204982,2.219572192513372
projection,9,0.0318181818181818,0.0073700614171784,4.317220714608816
projection,9,0.0554545454545454,0.0401407780842766,1.3815015079707014
projection,9,0.079090909090909,0.1025406271457999,0.7713129058441555
projection,9,0.0672727272727272,0.0676328502415458,0.994675324675325
projection,9,0.0909090909090909,0.1539611360239162,0.5904677846425422
projection,9,0.1145454545454545,0.2339508832399827,0.48961325966850827
projection,9,0.1027272727272727,0.1831107281344248,0.5610117647058822
projection,9,0.1263636363636363,0.2710038776389487,0.4662798092209855
projection,9,0.15,0.3423284502698535,0.43817567567567567
projection,9,0.1381818181818181,0.3091750192752506,0.4469372024484241
projection,23,0.02,3.8113453356062813e-05,524.7490909090909
projection,23,0.0318181818181818,0.0008630707650068,36.86624910522964
projection,23,0.0436363636363636,0.0066222978217429,6.589308546814811
projection,23,0.0554545454545454,0.0230265032772869,2.4082920792079268
projection,23,0.0672727272727272,0.0623344241857565,1.0792227272727277
projection,23,0.079090909090909,0.105598866052445,0.7489749847467965
projection,23,0.0909090909090909,0.1844032744506678,0.4929906542056075
projection,23,0.1027272727272727,0.2425678586816027,0.42349911190053285
projection,23,0.1145454545454545,0.3132270573028867,0.365694635488308
projection,23,0.1263636363636363,0.4005167958656331,0.3155014662756596
projection,23,0.1381818181818181,0.433307632999229,0.3189000323519895
projection,23,0.15,0.4556669236700077,0.32918781725888324
restriction,9,0.02,0.0017038024611426,11.73845000000038
restriction,9,0.0672727272727272,0.0702820632694405,0.9571820197540815
restriction,9,0.0318181818181818,0.0069064306543203,4.607037037037072
restriction,9,0.0554545454545454,0.0384286121944259,1.443053555355536
restriction,9,0.079090909090909,0.1002517738612955,0.788922789539227
restriction,9,0.0436363636363636,0.0187812830050052,2.3233963102911837
restriction,9,0.0909090909090909,0.1330343796711509,0.6833503575076612
restriction,9,0.1027272727272727,0.1856958207669108,0.5532018561484917
restriction,9,0.1145454545454545,0.2322274881516587,0.4932467532467532
restriction,9,0.1263636363636363,0.2567858681602757,0.4920973154362414
restriction,9,0.1381818181818181,0.323053199691596,0.427737036233456
restriction,9,0.15,0.3454124903623747,0.4342633928571428
restriction,23,0.02,1.4862268830961977e-05,1345.6895597484277
restriction,23,0.0318181818181818,0.0003561163687346,89.34770937725327
restriction,23,0.0436363636363636,0.0029458102810244,14.81302578019014
restriction,23,0.0554545454545454,0.0122169882996505,4.539133876074174
restriction,23,0.0672727272727272,0.0357111900840773,1.8837996469549858
restriction,23,0.079090909090909,0.0715287517531556,1.1057219251336898
restriction,23,0.0909090909090909,0.1443946188340807,0.629587803500847
restriction,23,0.1027272727272727,0.2016372253339078,0.5094658119658119
restriction,23,0.1145454545454545,0.3067643257216716,0.3733988764044944
restriction,23,0.1263636363636363,0.3723978411719352,0.3393242988895161
restriction,23,0.1381818181818181,0.4016962220508867,0.343995812249171
restriction,23,0.15,0.4504737295434969,0.3329827915869981
chromobius,9,0.02,0.0007610567272658,26.2792500000003
chromobius,9,0.0318181818181818,0.0044986067747675,7.072896879240185
chromobius,9,0.0436363636363636,0.0126807633444732,3.44114643976714
chromobius,9,0.0554545454545454,0.0304747883695252,1.8196859903381633
chromobius,9,0.0672727272727272,0.0568471979572638,1.1833956587148067
chromobius,9,0.0909090909090909,0.1291479820627802,0.7039141414141418
chromobius,9,0.079090909090909,0.0878917114778416,0.8998676639815876
chromobius,9,0.1263636363636363,0.2684187850064627,0.47077046548956636
chromobius,9,0.1027272727272727,0.1623318385650224,0.6328227021597186
chromobius,9,0.1145454545454545,0.2119775958638518,0.5403658536585364
chromobius,9,0.15,0.3323053199691596,0.45139211136890955
chromobius,9,0.1381818181818181,0.2938388625592417,0.47026392961876806
chromobius,23,0.02,5.5e-07,36363.63636363636
chromobius,23,0.0318181818181818,6.01609317405581e-05,528.8844586948319
chromobius,23,0.0436363636363636,0.0008892663330435,49.070072727277136
chromobius,23,0.0554545454545454,0.0060149925934792,9.219387155133521
chromobius,23,0.0672727272727272,0.0227362705729313,2.958828584350982
chromobius,23,0.079090909090909,0.0561752452627335,1.407931709438885
chromobius,23,0.0909090909090909,0.1192492561226825,0.7623451404641425
chromobius,23,0.1027272727272727,0.1848341232227488,0.5557808857808856
chromobius,23,0.1145454545454545,0.2731581214993537,0.41933753943217655
chromobius,23,0.1263636363636363,0.3554356206630686,0.3555176493788205
chromobius,23,0.1381818181818181,0.4217424826522745,0.3276450058168521
chromobius,23,0.15,0.4494988434849653,0.333704974271012
concat_mwpm,9,0.02,0.0007919145524197,25.255250000002995
concat_mwpm,9,0.0318181818181818,0.0039646233607807,8.025524475524524
concat_mwpm,9,0.0554545454545454,0.0275857348210007,2.010261673810063
concat_mwpm,9,0.0672727272727272,0.0476077968103957,1.413061132415971
concat_mwpm,9,0.0436363636363636,0.0121667019763324,3.5865400271370493
concat_mwpm,9,0.079090909090909,0.0751129811438366,1.052959260656356
concat_mwpm,9,0.0909090909090909,0.1096360723277637,0.8291895995445061
concat_mwpm,9,0.1027272727272727,0.1431988041853512,0.7173752135130007
concat_mwpm,9,0.1145454545454545,0.1891426109435588,0.6056036446469246
concat_mwpm,9,0.1263636363636363,0.2378285221887117,0.5313224637681158
concat_mwpm,9,0.1381818181818181,0.2809133993968117,0.49190184049079727
concat_mwpm,9,0.15,0.3361603700848111,0.44621559633027524
concat_mwpm,23,0.02,2.1625930587592056e-05,924.8156937799043
concat_mwpm,23,0.0318181818181818,0.0004161214341795,76.46369353917147
concat_mwpm,23,0.0436363636363636,0.0029057760451011,15.01711176603955
concat_mwpm,23,0.0554545454545454,0.0119214377253896,4.651665909090936
concat_mwpm,23,0.0672727272727272,0.0319742981718044,2.103962592431495
concat_mwpm,23,0.079090909090909,0.0699407281964436,1.130827646929342
concat_mwpm,23,0.0909090909090909,0.1261584454409566,0.7205945713054719
concat_mwpm,23,0.1027272727272727,0.1917277035760448,0.5357977528089887
concat_mwpm,23,0.1145454545454545,0.2763957987838585,0.4144254545454544
concat_mwpm,23,0.1263636363636363,0.3222821896684656,0.39209003914745527
concat_mwpm,23,0.1381818181818181,0.3824209714726291,0.3613343108504397
concat_mwpm,23,0.15,0.4479568234387047,0.3348537005163511
correlated,9,0.02,0.0015734093814534,12.7112500000003
correlated,9,0.0318181818181818,0.0070638873943454,4.504344427071709
correlated,9,0.0436363636363636,0.0172927597061909,2.5233892321271054
correlated,9,0.0554545454545454,0.0390944544849234,1.4184760008847597
correlated,9,0.0672727272727272,0.06529530933458,1.0302842265133427
correlated,9,0.0909090909090909,0.14050822122571,0.6470019342359768
correlated,9,0.1145454545454545,0.2300732442912537,0.49786516853932583
correlated,9,0.079090909090909,0.0903022436491748,0.8758465559081571
correlated,9,0.1027272727272727,0.1770788453252908,0.5801216545012164
correlated,9,0.1263636363636363,0.2503231365790607,0.5048020654044749
correlated,9,0.1381818181818181,0.3050409306333477,0.4529943502824856
correlated,9,0.15,0.3454124903623747,0.4342633928571428
correlated,23,0.02,1.3762217499725896e-05,1453.2541721854304
correlated,23,0.0318181818181818,0.0002982340847248,106.68861625103149
correlated,23,0.0436363636363636,0.0026020195097923,16.770190796857925
correlated,23,0.0554545454545454,0.011159416276687,4.969305210918138
correlated,23,0.0672727272727272,0.0324018788313032,2.0761983471074386
correlated,23,0.079090909090909,0.0743512179589237,1.0637473233404704
correlated,23,0.0909090909090909,0.1246636771300448,0.7292347939829956
correlated,23,0.1027272727272727,0.2042223179663937,0.5030168776371309
correlated,23,0.1145454545454545,0.3003015941404567,0.3814347202295551
correlated,23,0.1263636363636363,0.3562066306861989,0.3547481306572214
correlated,23,0.1381818181818181,0.4117193523515806,0.3356213823629552
correlated,23,0.15,0.4394757131842714,0.3413157894736842
