decoder,constant_c,multiplier_a,exponent_k,r_squared
bposd,1.8561373163462106e-05,6.986520707003965e-08,1.4604160247239182,0.9997320696219965
projection,5.518950699468345e-06,6.967609703366338e-09,1.5460972715359953,0.9942569653977892
restriction,1.0252830692203075e-05,1.9071021695560923e-08,1.2719173114530595,0.9967840680001796
chromobius,1.0000000000524402e-09,5.769910400141314e-08,1.1711173983581866,0.9940780977705771
concat_mwpm,7.356690034388292e-05,1.059096791718061e-06,1.1256360616169283,0.9966646947886484
correlated,1.0580032578601524e-05,1.1074191635283945e-08,1.7112851744904294,0.9901146290170179
