decoder,c0,c1,c2,c3,r_squared
bposd,0.5711429158393561,0.33731754215041393,1.4876592136069764,0.3004467897096894,0.9952191709480389
projection,0.043125548146230264,0.29733280267042717,1.0532248250687288,0.24438583438931982,0.9984673270381489
restriction,0.01060815762776779,0.2780216783752223,0.8954327899523675,0.2481995739690407,0.9988095133322087
chromobius,-0.9665732242956455,0.43882720762603666,0.09268692271153944,0.3866574700389299,0.9984925938987458
concat_mwpm,0.746579221599519,0.2221881165499045,1.6692922697172743,0.19646271398477164,0.9988372795642874
correlated,0.09458583856716099,0.2717805731183921,0.9539958541009854,0.24594445517627123,0.9985882266960008
